Username,Komen
Fajar Tri Mira,Pernh lg hamil gede kena muntaber dan paksu blg mf yaa bersihin sndr g thn sy sama muntah dll(baiklah)
Fazriah Jamilah,Sayaaang teh Niya.. insyaa Allah ada bayaran yg mahal untukmu
Ummu Fathiya,duh...prnh merasakan diposisi ituh
Istighfara DahLya Islammadina,"Kakk Nia ,, aku baca nya Nangiiiissssssss .."
Rita Meidasari,"Itulah wanita....ketika keadaan mengharuskan ia harus ""kuat"". Ngga ada yg namanya manja2, menye2, coz everything she must do it...!!! (Ehh bener ngga yaa englishnya)."
Pramesti Octria,Aaaaaaa sukaaaa bacanyaaaaa.....relate banget. Sampe lupa manja2 krn terbiasa hidup keras
Ummu Hani,Ijin copas ya teh..
Tri Handayani,speechless.... panjenengan terbukti strong mak
Nur Meisa Lestari,"Masyaallah jadi mewek inihhmakasih teh buat tulisan nya, semangatttt buat aq sendiri"
Hidayati,
Imelda Ita,Teteh izin share ya
Alvi Mikhaeyla,Masyaallah teteh....
Alya Fujia Ningsih,Sehat selalu dear
Rierienz,
Murni Sulistiyowati,Masyaallah status anti byk bener nya ijin share ya umm buat save nasehat tsb.. Barakallahufikkum
Silvia Rani Niadjo,
Yeni Kamil,
