Username,Komen
Su Lastri,Walou ank sy dh bnyak tp sy klo lihat org lahiran si Upik sy suka ikut cemut cemut
Puji Riyanti Ibune Kraf,"Alhamdulillah mau merasakan yg ke 5 x nya, semoga diberi kelancaran selancar lncarnya ibu dan debay semua sehat aammin aamminn Ya Robbal alaminn"
Celina Meliala,WAduh bahagianya Ibu nih moga tahun ini saya dapat merasakan bahagianya manjadi sekrang ibu
Hairol Erol,Alhamdulillah..... syukur apa yg ada PD kita diri kita bila kita sudah menjadi seorang ibu ayah jaga  lah ank MU dgn lebih baik dan ceria dan beri didikan dgn lebih luas untuk ank yg selesa.
Meisya Putri,"Alhamdulillah mau merasakan untuk ke 3 xnya, semoga d beri kelancaran saat persalinan dan slalu dlm lindungan Allah SWT  amin"
Melva Tri Asbella,"Jd sedih nnt videonya,teringat 10 tahun yg lalu"
Anicifirgien Anicifirgien,Bismillah. ..smoga bisa lahiran dg normal lagi....Tp kemaren dr bilang kl bayi saya sungsang dan ari2nya turun. ..smoga ada keajaiban Ya Allah
Fanny Rahmadani,"Alhamdulillah 2 anak sy,kedua"" lhr dengan cara persalinan normal..."
Mak Carissa Manik,Duhhh steril dok tali pusat ny sereeeem deh
Mariana Mariana,Semangat bunda
Mitra Seragam Souvenir,Sungguh moment paling mengharukan selain melepasnya menikah nanti
Nunung Nafis,Ko ngadangkak kitu nyah ker abdimah di cikande te kitu da kakina napak
Juliana Juli,Saya ngh terasa kqlau nengo org lahiran saya sering menangis. Terharu. Air mata tiba netes sendiri
Diah Poetri Handayani,Alhamdulillah da merasakan lahiran normal 2 x dan ni mau ke 3 x nya d awal tahun nanti
Uma Fabiana,Ko cepet banget ya. Semoga besok persalinan saya jg secepet itu aamiin
Yarda Kholil,"klo ada bidan dan dokter cewek klo normal knp pake dokter laki2, klo nggk ada sama sekli br pake dr.laki2"
Euis Tika Sopiyani,"Alhamdulillah k 3 anakku lahirnya normal semua,perasaannya juga campur aduk antara senang, bersyukur, kaget dngan berat k 3 anak""ku besar""dan proses lahiran normal.."
Noraini Binti Abu Samah,SAYA DAH ALAMI
Rene Elfarizy,"Hilang rasa malu Krn engkau si buah hati,"
Ita Sr.,Masyaallah saya hpl bulan Juni semoga bisa lahir normal dan di lancarkan di permudahkan
Julmasni Mom's Lyiora Halawa,Saya jdi bertanya tanya apakah saya bisa melahirkan normal nanti y
Anie,ya allah smga tahun ini sy sma suami deberi momongan
Enur Ica,"Sy jg mlhirkn 2 kli normal, trus mlh yg trakhir hrus diSC,ank bwa wtak bda2 bwaan hmil nya,semngt trus ibu2 yg lgi hmil prjuangan mu adalh ibdah!!"
Lilis Nurindachsary,alhmdlilah y allah.smoga  d beri klncaran dan kmudahan juga kamu sehat tak.kurang satu apapun amin ya allah
Tri Juarsih,"Saya mengalami tiga kali melahirkan secara normal, Alhamdulillah"
Vany Vany,Muda mudahan bisa lahiran normal jg amin
Hantu Samawa Lape,Bantu doa bun Saya lagi Nunggu petanda hpl nya Akhir Bulan ini...  Mana lagi suami Kurang Peduli
Tievany Joseph,Ikut tahan napas sambil ngejan
