User @,Comment Text
sanzrx,"kak cari sampai dapat kak,karna dia Kaka begini"
zerganalaskaa,emg dia knp bg maaf?
nes.xyy,dia sakit trs dokternya salah ngasih obat tetes mata
ikmakarima,kk crii tauu dmna skrng truss buktii kk berobat ituu kk hrus ada
kikoenaktaukkkk23,semangat kak hebat bgt kamu bisa bertahan sampe ke titik ini tetep semangat ya semoga cepet sembuh🥰🥰
alphelibe0,amin🤲
afahh_iyahh,kok gw kesel ya ama dokter nya😌
abcderla_,"Rumah sakitnya bisa dituntut kakakuuu,, berikan bukti pembayaran"
babyzhue4,mnurut ku ya kk prcuma jg klo di tuntut kita org awam gak akan menang mlwab mreka2 yg brduid ...
lyliatiktok224_,kak mau nanya mata nya di apain sama doc nya tlng jwb pakek vidio itu aj aku seneng udh aku folow😭
chifuyu_696,"liat kakak aku jadi lebih bersyukur
tetep semangat ya kak🥰"
mulareken,semoga cepat sembuh cantik permula .an kenak apa cantik mata ya maaf tanya
xyestatikaz,"astaghfirullah. mbak, maaf itu penglihatan masih baik atau sudah tidak bagus ya? maaf kalau pertanyaan sya menyinggung perasaan mbak"
queenbumbu,"maaf mb nanya, itu ngerasain sakit gk ya..kek nya mb nya gk ngerasain apa2 gk ngerasain ngeluh klo di perhtiin.semoga cpet sembuh ya mb🙏"
msnur2000,YaAllah doc tu sepatutnya kena bertanggungjawab. Suka dengar cara akak jawab soalan. Lembut je. Saya doakan akak sihat selalu ya. Salam dari Malaysia
nokomen405,lagian make soflen
gwsihgatau,gws
jeman438,anjir lu parah bisa ga si jaga ketikan lu
cuteszyyy,di jaga ketikan nya!
kenzogamtengbgt,gws dek
nurulhikmapurba,Kalo ngetik mikir anj
rennnskrrtt,efek maen ep ep
slight138,lo stress
xxnta_xxz,sotoy 4nj
chocopupcc,MIKIR TOT UDAH GEDE
dipppzz_,pantes nak epep
indiiiyaaa,gws bocil epep
naisaxr,apsih anj prik lo
rhea_xoyen11,jht bgt si lu
cidesia,mf...itu kenapa ya.jwb pake Vidio ya.plis.🥺
15oktoberakuutah,coba merem bisa gk?
martinus.marcell,Parah njir dokternya
pia_ajaaaa,emg dokternya ngapa dah?
martinus.marcell,gatau...kek nya kabur
atha.png,"ini kknya sakit, tapi malah dokternya netesin obat katarak di mata kknya.trs dokternya mlh kabur"
ciciiywl,@s1dsyy ih kasian:(
licvbe,iyaa :(((
kia7juni,ya Allah
yupystarxs,gila jahat banget
xxqprillz,kasian bngt😭
taribiani,dokter anj
ndnxyr,@anggikkk6 @selviyaaa0 kasian🥺
rameeeeeeeeeeeeeeeeeee,"iy kasian tau ,gedeg bet sma dokterny😌"
martinus.marcell,ga di tuntut kali ya
