User @,Comment Text
michellee195,Di aku gocengggggg😭😭😭
akuorang2012,ini beneran ga sii kok muncul trs
cheet0oz,beneran aku udh abis 7 botol yg cookies and cream
myyaaavv,beneran?
geulistri,"bener ko,enak enak banget wangi nya jg tahanlama"
gabutporlep,varian ap yg enak?
geulistri,"selera ya,kalo aku si suka sama yang lilac army soalnya wangi nya segerr strong,kalo lg pengen wangi soft yg cookies&cream"
dyhmab,tahan berapa jam kak? kalau yg lilac army wanginya kayak apa ya kak?
strawberrymilkshake813_,"WOI INI EMNG BENERAN WANGI BGTTTTTT, FAV AKU YANG COOKIES & CREAMM🥺💖💖"
plcdutt,yg cookies & cream baunya kek manaa kak?
kelacuy,ntip
janeetajasminkalani,kepoo bgtt😳 aku bantu salin link ka awaa🥰
nissftrynii,omg jadi mau co skrng😫
ar15_aa,ongkir nya mahal😔
ileisseo,cara liat ongkir nya gmn?
butuh_duit18,waw😳
inimahdelia,aku udh bli tapi g tahan lama menurut aku
pejuang_glowup5,penasaran banget sama body mist nya skinhouse.id😍😍🤩🤩💓🤩😍
nifsih_03,farfum apalgi nihh!!
ferlyfjnrr,wangi bgt ga wa?
can_putun,Lilac army wangi poll
cupongpong,yg lilac army wanginya kaya gimana kak??
istifaul._,sehat slalu kk awaa
putriraa_4,penasaran bgt
aliyaagasii,bsa deskripsiin gmn wnginya g kak?
mayaa.istyanti0209,mursidahh penasaran cuuyy
kodokgumoh,yg vanilla wanginya nempel bgt
putriii2704,skinhouse bikin penasaran
vvfbrn1,jadi kepoo
cikicikio,harganya kantong pelajar bgt 😍
yunitaigyuanita3,wajib punya nih
nrlll.syaaaa,penasaran deh😳
jungkookkooky36,aaa sama an@nazwamhrm
macanx24,keren😳
rifdahaniyahp,"bisa jelasin wanginya gaaakk, aku kurang cocok sama cookies and cream"
dhelimafuriindah,woww😳halooo kka Awa semangat ngontennya🥰
nurhayati_12345,penasaran bnaget
vinaaaaani,penasaran
rnzahra,Spill tas ka
inkalevi,kaka suka yg varian apa?
kheriazelitha,kece😎😎😎😎
zulfalavinda95,malam kak Awa
_rgna123,jangan lupa salin link guys
mbalion,mauuuu beliii dehh😳
nafia286,the beast banget😍
putricantull,wangi bangett emngg
suka.skincareann,halo kak awaaa😁
keziazahira027,Sewangi ituuu gaboong😳 aku bantu salin link ka awa🥰
vanillalatte_213,penasaran bgt
fryhelda_02,aku bantu salin link kak awaa❤
cil_cil07,bestt bangett
semisjk,secinta itu nih ka awaa sama skinhouse
n_via18,kakak live gak??
cindy_kharisma05,wajib coba sih😁
kylst_01,di aku 5rb😭
aisyhfbrina_,kepoo bgttt
sukakjoongki,ongkir nya:)
iyeacha4,kak kalo yg wangi nya sweet gtu varian apaa?
kangbecak052,beli ongkir
amallinnn,gw jg make ituuu seharian wanginya
risqianao,cobain parfumnya @asadelstudio deh kak serius enak bgtt
sakaton1kabc,buset ongkirnya🥺
retrokyoto,fdc depok gak sihh
vrzaaa_,waahh😍
xzdheappylfe,best 🥰
saya.nissaa,wahhh
faiqotulmillah,aaaa penasaran wanginya
pacarhaikalhihi,bener anjirr gua minta punya temen gua 2h masi ada wanginya😭
vidyametta,jd pengen nyobain
yauaeyo,wanginya enakan yg mana sih?
gilgil.yyy,omg pengen nyoba😌
siaudrey09,enak banget wanginya 😵
rhmhnzwa03,penasaran sewangi apa 😳
karunndyta,co gak yaaa
liibragurll0,duhh mursidah
izzatykhairah,ini wangi banget 😭
kalypsokai,akuuu jg udh prnhh co 4😂
yusupindryani17,woilah mantep
kholifia01,selalu skinhoused yg dibawa🤩🤩
2zazaa_,praktiss bgt buat di bawa kemana mana🤩🤩
fcho.lee,gocenggggg 😳😳😳
no.bctt,spil tas ka
yuniartika29,kecintaan
tiaramadhanii_,murce bngtt
dv.yyn,"ko org"" pada dpt harga goceng sii😭"
aryzx_acne,"Semangat terus kaa🤗Sukses terus yaak😍
aku bantu salin tautan yaa🥰🥰https://vt.tiktok.com/ZSd97HJd2/?k=1"
xope_z,tahan lama?
kettrinnn,lsg tumpahin buat mandi
asyifaxr,Murve
bluwbeee,wah
__zahra__46,kok gw mahal anjir 250
nazwamhrm,itu satu paket……
sariti0,mirip fatim halilintar
dbyewwi,@indrrputri
awliliaa,@auliawh2
chriges,@jangansokasik_0
wgaon,@doyoungbh
psrrnti,@yoongimerryme5
noncilla,aaaaa
rnazfwiaq,@alpnzww
kepobgtdeck0,@mosthere1
liyawpn,@oreolovs
xsykaaaa,@Selll
sourccndy,@dithaardina
ptr.parkerr,@pu3xxy
itzsfraaa,@2shafirah
nowooyy._,@hdrtysu
partofovt,@loaffsgurll
reallatoursoul,@aeyshayayaya
rujakrs,paling bagus yg mana si?
scrt22,tapii kenapaa wanginya slalu beda yaa
taetaeraja,"aku jga beli bner""buat laki terpikat🤣"
skskskj_z,@lala.lajshdjdj
