User @,Comment Text
dewimasitoh8010,maulh disp dokter gnteng..😂
jasonyupi,MAAF TADI SAYA BACANYA MAU DONG DI ISEP DOKTER GANTENG
dewimasitoh8010,waduhhh mf .krn tdk spsi y.mf..mf
dr.di083,Gpp kak aku paham koq bacanya
dr.di083,Makasih ya Sdh Care
dewimasitoh8010,mksih
claudyaputriirawa,"dok. mau nanya,baby sya umur 18 bulan,kulit dibagian mata kakinya itu ky ada lemak2nya gitu dr lahir, trs trklupas.udh dikasi salep mcm2 blm jg smbh."
cicierly,senyum dokter bkin meleleh😍
mamahgina8,senyum nya sampe gak bisa tidur.
abara.th,"Disenyumin doang, diajak jalan nggak 😂"
nelsongulo91,"abangnya merakyat,,,sapa dog kita"
deisyjassa,mau di obatin kalu aku sakit sama dokter ganteng😁😁
recklesssgirl5,"assalamualaikum dokter 🥰,, slmt pagi.."
cacasari212,Mao brobatt ahhh biar ketemu dtr ganteng😁
dr.di083,Boleh sya Sdg praktek koq
paerah965517630,dokternya dokter apa dok?? boleh tanya seputar kesehatan dokter??
wingkycemonk,keluhan saya dok klo lht senyumnya pak dokter jantung tiba2 berdetak gk karuan dok 🙈🙈🙈😅
dr.di083,hahaha bisa aja 😁 karena melihat saya
adeindra380,gaskeun tth Caca 🥰
rita_euyy,hayo kak...ikutan yaa...ntr ngantri kita barengan biar ketemu dkter ganteng😂🤭
cacasari212,Haaa hayukk ahh😁
dr.di083,😂😂 Ambil no antrian dulu yah hehe becanda yah
tiaranabilla1091,mau.liat istrinya dong dok
ekanoura1,dok ngasih obatnya jgn yg manjur ... biar lm sembuhnya .. biar bisa berobat trs SM dokter ganteng 😁
dr.di083,"Gak tepat dong Therapi nya kasihan pasiennya,, 😁"
ekanoura1,gpp deh aq jg pasiennya dokter ganteng seumur hidup 🤭
dr.di083,Hahaha 😁😂 memang keluhannya apa ? 😁
mbak_nanash,mau dong d ucapin ultah sama dokter ny. 26 Mei 1997
______dhian_______,pengen disapa donk pake VT 😁😳
lestaridewi49,ganteng nya kebangetan dokter ...😄🙏🏻
dr.di083,😁😁 Bisa aja kak makasih yah
lestaridewi49,injih..sama2 Dok 😊🙏🏻
shezahalwa,aduh aku meleyot dok😌
dr.di083,Koq bisa ? 😁
nurulapsaniah06,"dok, obat sakit gigi tpi gginya udh abis apa. skiy bgt kya urat di tarik ke atas"
iyyaimut2,duh mendadak sakit q dok ....serlok donk 🤧
dr.di083,Koq mendadak sakit ? Keluhan apa ? Boleh boleh
iyyaimut2,cek donk jantung q dok ko detaknya makin kencang ya liat senyummu 🤭
dr.di083,"Koq bisa yah,, 😮"
sriujie,Sebaya anakku dokter jg..tp anakku cewek😁😁semangat ya dok 👍💪
dr.di083,Semangat juga yah bu 🙏🏻
sriujie,🙏🙏
anto576man,Slaam.Knal Dok..Boleh Konsul Kah Dok
dr.di083,"Salam kenal, boleh"
dr.di083,Boleh
boru_saragih4405,pa dok blz vt dong nnti ya ada mslh GK pa dok klo gak haid² selama 2bulan lebih🥺🥺🥺
ruthdeborasihite,dokter nya memang ganteng
yayahcirebon7,siang pa Dokter ganteng
dr.di083,Siang juga
ekameitsima2015,angkat jadi mantu pak dokter nya Bu 😅
lalalabieee,ganteng emang ternyata😁
dr.di083,Makasih yah kak
liaapril_27,salam kenal dok...praktek daerah mnkah...🤭🤭🤭
dr.di083,"Salam kenal,, saya dibekasi dan Bogor"
