,id,date,user,tweet,stem,label,tokenizing
0,1535059785665478656,2022-06-10 00:42:27,DiagaPaiker,"@Muhdzahir @hrdbacot Biar mudah di pahami, mirip seperti tenaga kesehatan, nah PNS itu dokter, PPPK itu perawat, asn itu tenaga medis/kesehatan",biar mudah paham tenaga sehat pns dokter pppk awat asn tenaga medis sehat,1,"['biar', 'mudah', 'di', 'pahami', 'mirip', 'seperti', 'tenaga', 'kesehatan', 'nah', 'pns', 'itu', 'dokter', 'pppk', 'itu', 'perawat', 'asn', 'itu', 'tenaga', 'medis', 'kesehatan']"
1,1535048183424106498,2022-06-09 23:56:21,chalistamall,"#Jubahoperasi Jubah operasi
#Apdgown  Apd Gown
#surgicalgown  Surgical Gown
#Jubahoperasiterlaris 

Jubah operasi | Apd Gown | Surgical Gown| Jubah operasi terlaris | Chalista Mall

Untuk kaka tenaga medis yang butuh jubah operasi  berkualitas

Bisa klik👉 https://t.co/WyT8G3eiHd https://t.co/os5L0rXtrL",jubah operasi apd gown surgical gown jubah operasi apd gown surgical gown jubah operasi laris chalista mall kaka tenaga medis butuh jubah operasi kualitas klik,-1,"['jubah', 'operasi', 'apd', 'gown', 'surgical', 'gown', 'jubah', 'operasi', 'apd', 'gown', 'surgical', 'gown', 'jubah', 'operasi', 'terlaris', 'chalista', 'mall', 'untuk', 'kaka', 'tenaga', 'medis', 'yang', 'butuh', 'jubah', 'operasi', 'berkualitas', 'bisa', 'klik']"
2,1535034965510934529,2022-06-09 23:03:50,romiaann,"Tapi kok dokter2/tenaga medis gak jelasin ya? Kan gak semua orang kritis akan hal itu. Hmm. Thank you, Ners. https://t.co/lOShUterWu",dokter tenaga medis jelasin ya orang kritis hmm thank you ners,-1,"['tapi', 'kok', 'dokter', 'tenaga', 'medis', 'gak', 'jelasin', 'ya', 'kan', 'gak', 'semua', 'orang', 'kritis', 'akan', 'hal', 'itu', 'hmm', 'thank', 'you', 'ners']"
3,1535031570629021696,2022-06-09 22:50:20,sundarkeu_,"Gimana ya, para dokter atau tenaga medis lain tuh gak ngasih tau waktu² yg pas cuma blg kalo 3x1 ya diminum pagi, siang, sore
Masyarakat ngikutin apa yg tertulis
Masalahnya juga masyarakat kita jarang ada yg nanya rentan waktu, kalo udh tertera 3x1 ya udh gitu 😓 https://t.co/4qZyHAJI3B",gimana ya dokter tenaga medis tuh ngasih tau pas blg kalo ya minum pagi siang sore masyarakat ngikutin tulis masyarakat jarang nanya rentan kalo udh tera ya udh gitu,-1,"['gimana', 'ya', 'para', 'dokter', 'atau', 'tenaga', 'medis', 'lain', 'tuh', 'gak', 'ngasih', 'tau', 'waktu', 'yg', 'pas', 'cuma', 'blg', 'kalo', 'x', 'ya', 'diminum', 'pagi', 'siang', 'sore', 'masyarakat', 'ngikutin', 'apa', 'yg', 'tertulis', 'masalahnya', 'juga', 'masyarakat', 'kita', 'jarang', 'ada', 'yg', 'nanya', 'rentan', 'waktu', 'kalo', 'udh', 'tertera', 'x', 'ya', 'udh', 'gitu']"
4,1535026983469740032,2022-06-09 22:32:06,aburnin6hill,"@mediocrickey semua itu ga bakal terjadi kalo Indonesia punya kebijakan safe abortions kaya di UK, proses aborsi ga perlu dilakuin sendiri yg bisa sangat berbahaya buat kesehatan si perempuan. tinggal datang ke klinik dan bakal dibantu sama tenaga medis yg berpengalaman",ga kalo indonesia bijak safe abortions kaya uk proses aborsi ga dilakuin bahaya sehat si perempuan tinggal klinik bantu tenaga medis alam,1,"['semua', 'itu', 'ga', 'bakal', 'terjadi', 'kalo', 'indonesia', 'punya', 'kebijakan', 'safe', 'abortions', 'kaya', 'di', 'uk', 'proses', 'aborsi', 'ga', 'perlu', 'dilakuin', 'sendiri', 'yg', 'bisa', 'sangat', 'berbahaya', 'buat', 'kesehatan', 'si', 'perempuan', 'tinggal', 'datang', 'ke', 'klinik', 'dan', 'bakal', 'dibantu', 'sama', 'tenaga', 'medis', 'yg', 'berpengalaman']"
5,1535026659673649152,2022-06-09 22:30:49,prasetia_bhayu,"@needmorecuddle @nomu_yeppeo @mediocrickey Bener juga, secara dia tenaga medis",bener tenaga medis,0,"['bener', 'juga', 'secara', 'dia', 'tenaga', 'medis']"
6,1534944892119822336,2022-06-09 17:05:54,timmymalachi,RT @afifanharyawan: Sebagai tenaga medis yang melayani pasien HIV+ saya berterimakasih kepada pemerintah untuk menyediakan pengobatan secar…,tenaga medis layan pasien hiv berterimakasih perintah sedia obat secar,1,"['rt', 'sebagai', 'tenaga', 'medis', 'yang', 'melayani', 'pasien', 'hiv', 'saya', 'berterimakasih', 'kepada', 'pemerintah', 'untuk', 'menyediakan', 'pengobatan', 'secar']"
7,1534904523692552192,2022-06-09 14:25:30,eteroaheremana,"@gophertort45 ada hanya kasi darah, air mata dan trauma tuk ditukar uang agar tutupi korupsi dan izin2 SDA perusahaan asing!!!

sa sbg nakes jg masi trauma deng aksi OPM di thn 2018 di nduga opm culik 15 guru dan tenaga medis selama dua minggu bhkn satu guru diperkosa bergiliran lalu di des",kasi darah air mata trauma tuk tukar uang tutup korupsi izin sda usaha asing sa nakes mas trauma deng aksi opm thn nduga opm culik guru tenaga medis minggu bhkn guru perkosa gilir des,-1,"['ada', 'hanya', 'kasi', 'darah', 'air', 'mata', 'dan', 'trauma', 'tuk', 'ditukar', 'uang', 'agar', 'tutupi', 'korupsi', 'dan', 'izin', 'sda', 'perusahaan', 'asing', 'sa', 'sbg', 'nakes', 'jg', 'masi', 'trauma', 'deng', 'aksi', 'opm', 'di', 'thn', 'di', 'nduga', 'opm', 'culik', 'guru', 'dan', 'tenaga', 'medis', 'selama', 'dua', 'minggu', 'bhkn', 'satu', 'guru', 'diperkosa', 'bergiliran', 'lalu', 'di', 'des']"
8,1534894259832496128,2022-06-09 13:44:43,sin_suit2,RT @afifanharyawan: Sebagai tenaga medis yang melayani pasien HIV+ saya berterimakasih kepada pemerintah untuk menyediakan pengobatan secar…,tenaga medis layan pasien hiv berterimakasih perintah sedia obat secar,1,"['rt', 'sebagai', 'tenaga', 'medis', 'yang', 'melayani', 'pasien', 'hiv', 'saya', 'berterimakasih', 'kepada', 'pemerintah', 'untuk', 'menyediakan', 'pengobatan', 'secar']"
9,1534891693396611072,2022-06-09 13:34:31,SFT97EH,"𝗡𝗜𝗖𝗨 (𝙉𝙚𝙤𝙣𝙖𝙩𝙖𝙡 𝙄𝙣𝙩𝙚𝙣𝙨𝙞𝙫𝙚 𝘾𝙖𝙧𝙚 𝙐𝙣𝙞𝙩)
───────────────

Ruang NICU merupakan tempat khusus untuk merawat bayi baru lahir yang membutuhkan pengawasan ketat dari tenaga medis.",ruang nicu khusus rawat bayi lahir butuh awas ketat tenaga medis,-1,"['ruang', 'nicu', 'merupakan', 'tempat', 'khusus', 'untuk', 'merawat', 'bayi', 'baru', 'lahir', 'yang', 'membutuhkan', 'pengawasan', 'ketat', 'dari', 'tenaga', 'medis']"
