,user,tweet,stem,label,tokenizing
0,Su Lastri,Walou ank sy dh bnyak tp sy klo lihat org lahiran si Upik sy suka ikut cemut cemut,walou ank sy dh bnyak sy klo lihat org lahir si upik sy suka cut cut,0,"['walou', 'ank', 'sy', 'dh', 'bnyak', 'tp', 'sy', 'klo', 'lihat', 'org', 'lahiran', 'si', 'upik', 'sy', 'suka', 'ikut', 'cemut', 'cemut']"
1,Puji Riyanti Ibune Kraf,"Alhamdulillah mau merasakan yg ke 5 x nya, semoga diberi kelancaran selancar lncarnya ibu dan debay semua sehat aammin aamminn Ya Robbal alaminn",alhamdulillah rasa moga lancar selancar lncarnya debay sehat aammin aamminn ya robbal alaminn,1,"['alhamdulillah', 'mau', 'merasakan', 'yg', 'ke', 'x', 'nya', 'semoga', 'diberi', 'kelancaran', 'selancar', 'lncarnya', 'ibu', 'dan', 'debay', 'semua', 'sehat', 'aammin', 'aamminn', 'ya', 'robbal', 'alaminn']"
2,Celina Meliala,WAduh bahagianya Ibu nih moga tahun ini saya dapat merasakan bahagianya manjadi sekrang ibu,bahagia moga rasa bahagia manjadi sekrang,1,"['waduh', 'bahagianya', 'ibu', 'nih', 'moga', 'tahun', 'ini', 'saya', 'dapat', 'merasakan', 'bahagianya', 'manjadi', 'sekrang', 'ibu']"
3,Hairol Erol,Alhamdulillah..... syukur apa yg ada PD kita diri kita bila kita sudah menjadi seorang ibu ayah jaga  lah ank MU dgn lebih baik dan ceria dan beri didikan dgn lebih luas untuk ank yg selesa.,alhamdulillah syukur pd ayah jaga ank mu dgn ceria dik dgn luas ank selesa,1,"['alhamdulillah', 'syukur', 'apa', 'yg', 'ada', 'pd', 'kita', 'diri', 'kita', 'bila', 'kita', 'sudah', 'menjadi', 'seorang', 'ibu', 'ayah', 'jaga', 'lah', 'ank', 'mu', 'dgn', 'lebih', 'baik', 'dan', 'ceria', 'dan', 'beri', 'didikan', 'dgn', 'lebih', 'luas', 'untuk', 'ank', 'yg', 'selesa']"
4,Meisya Putri,"Alhamdulillah mau merasakan untuk ke 3 xnya, semoga d beri kelancaran saat persalinan dan slalu dlm lindungan Allah SWT  amin",alhamdulillah rasa xnya moga d lancar salin slalu dlm lindung allah swt amin,1,"['alhamdulillah', 'mau', 'merasakan', 'untuk', 'ke', 'xnya', 'semoga', 'd', 'beri', 'kelancaran', 'saat', 'persalinan', 'dan', 'slalu', 'dlm', 'lindungan', 'allah', 'swt', 'amin']"
5,Melva Tri Asbella,"Jd sedih nnt videonya,teringat 10 tahun yg lalu",jd sedih nnt video,-1,"['jd', 'sedih', 'nnt', 'videonya', 'teringat', 'tahun', 'yg', 'lalu']"
6,Anicifirgien Anicifirgien,Bismillah. ..smoga bisa lahiran dg normal lagi....Tp kemaren dr bilang kl bayi saya sungsang dan ari2nya turun. ..smoga ada keajaiban Ya Allah,bismillah smoga lahir dg normal kemaren dr bilang kl bayi sungsang ari turun smoga ajaib ya allah,1,"['bismillah', 'smoga', 'bisa', 'lahiran', 'dg', 'normal', 'lagi', 'tp', 'kemaren', 'dr', 'bilang', 'kl', 'bayi', 'saya', 'sungsang', 'dan', 'arinya', 'turun', 'smoga', 'ada', 'keajaiban', 'ya', 'allah']"
7,Fanny Rahmadani,"Alhamdulillah 2 anak sy,kedua"" lhr dengan cara persalinan normal...",alhamdulillah anak sy lhr salin normal,1,"['alhamdulillah', 'anak', 'sy', 'kedua', 'lhr', 'dengan', 'cara', 'persalinan', 'normal']"
8,Mak Carissa Manik,Duhhh steril dok tali pusat ny sereeeem deh,duhhh steril dok tali pusat ny sereeeem,0,"['duhhh', 'steril', 'dok', 'tali', 'pusat', 'ny', 'sereeeem', 'deh']"
9,Mariana Mariana,Semangat bunda,semangat bunda,1,"['semangat', 'bunda']"
