,Unnamed: 0,user,tweet,stem,label,tokenizing
0,0,urebabeyy,"buat yg gangerti itu dokterny lg meragain bngunin org pingsan, trus desta narik rambut vincent ( yg tiduran ) , vincent tuh sensitif sm rambutny",gangerti dokterny lg meragain bngunin org pingsan trus desta narik rambut vincent tidur vincent tuh sensitif sm rambutny,-1,"['buat', 'yg', 'gangerti', 'itu', 'dokterny', 'lg', 'meragain', 'bngunin', 'org', 'pingsan', 'trus', 'desta', 'narik', 'rambut', 'vincent', 'yg', 'tiduran', 'vincent', 'tuh', 'sensitif', 'sm', 'rambutny']"
1,1,14fbrary,bisa bisanyðŸ—¿,bisany,0,"['bisa', 'bisany']"
2,2,oreomuffinnn,Let me correct: bukan bangunin orng pingsan tapi melancarkan sirkulasi nafasâœ¨,let me correct bangunin orng pingsan lancar sirkulasi nafas,-1,"['let', 'me', 'correct', 'bukan', 'bangunin', 'orng', 'pingsan', 'tapi', 'melancarkan', 'sirkulasi', 'nafas']"
3,3,urebabeyy,yup tapi jg bisa ka kata mamaku yg perawat bisa buat bangunin org pingsan ðŸ˜,yup ka mama awat bangunin org pingsan,-1,"['yup', 'tapi', 'jg', 'bisa', 'ka', 'kata', 'mamaku', 'yg', 'perawat', 'bisa', 'buat', 'bangunin', 'org', 'pingsan']"
4,4,pseudoholiday,perbaiki lgi : jalan nafas kak bukan sirkulasi nafas,baik lgi jalan nafas kak sirkulasi nafas,1,"['perbaiki', 'lgi', 'jalan', 'nafas', 'kak', 'bukan', 'sirkulasi', 'nafas']"
5,5,ndaamkm,sempet sempetnyaðŸ—¿,sempet sempetnya,0,"['sempet', 'sempetnya']"
6,6,bebek_laut15,Masi gk ngerti,mas gk ngerti,0,"['masi', 'gk', 'ngerti']"
7,7,shinyfrekle,gimmick tu,gimmick,0,"['gimmick', 'tu']"
8,8,urebabeyy,yoi,yoi,0,['yoi']
9,9,akune.seti,@scikhdd yok mbak pba,yok mbak pba,0,"['yok', 'mbak', 'pba']"
10,10,aynaufcfiz,nggeh,nggeh,0,['nggeh']
11,11,rxhannn,p,p,0,['p']
12,12,kmkepo01,@xzlynaaa @cocoupiee,,0,[]
13,13,y_yameteh,@kudanildarat3 need ga,need ga,0,"['need', 'ga']"
14,14,unprfcts,wkwk,wkwk,0,['wkwk']
15,15,sxsjsjvdnkuvbvc,njirrr nama kita sma[embarrassed],njirrr nama sma embarrassed,0,"['njirrr', 'nama', 'kita', 'sma', 'embarrassed']"
16,16,yudis_yt,ðŸ¤£,,0,[]
17,17,martatio_16,@user102807205,,0,[]
18,18,someone_isnotconsidered,@yosuaaa29 yang bener?ðŸ—¿,bener,0,"['yang', 'bener']"
19,19,patientzero.g,"sorry kak izin perbaiki, itu buat membuka jalur napasnya bukan buat bangunin orangnya",sorry kak izin baik buka jalur napas bangunin orang,1,"['sorry', 'kak', 'izin', 'perbaiki', 'itu', 'buat', 'membuka', 'jalur', 'napasnya', 'bukan', 'buat', 'bangunin', 'orangnya']"
20,20,urebabeyy,iya ka tp bisa juga buat bangunin org pingsan ðŸ˜,iya ka bangunin org pingsan,-1,"['iya', 'ka', 'tp', 'bisa', 'juga', 'buat', 'bangunin', 'org', 'pingsan']"
