date,username,fulltext
2022-03-08 04:11:15,Jinyoungr,Gua tadi booster terus sebelum disuntik si susternya pake baca-bacaan doa dulu anjrit gw serasa mau dikurbanin. Disembeleh sambil didoain
2022-03-08 04:09:55,debutipi,"Ternyata paru paru basah sedih kali woi aku denger lgsg dari dokternya, tp itu katanya bawaan dari cancernya, gak tau lah mana yg bener soalnya nyokap juga setahun belakangan ini suka kena angin malem"
2022-03-08 04:08:49,heavenlykimm,dokternya bosen gasi ketemu gw mulu “ni anak kaga sembuh sembuh” https://t.co/tNwo9ldmAt
2022-03-08 04:02:01,kdjsrk,":(( jadi inget webtoon HWH. 
""gue emang dokternya, tapi lo obatnya""  -Robin. https://t.co/Wpd0Jn4LPO"
2022-03-08 03:58:04,fufuyeyeah,"epik bgt ini gw disuruh ke puskesmas biar dapet surat bebas isoman (soalnya pcr belum keluar hfft), terus riweuh bgt si dokternya mau ngeprint eh printernya ga ada, ternyata diangkut sama temennya ke poli lain 😂😂"
2022-03-08 03:56:45,shinhyerisuun,"gue lihat ""adek Aldebaran"" waktu mau masuk ruang dokternya ternyata masih bayi sekitar bayi 4 bulan lah ya... lucu banget adek bayinya😬"
2022-03-08 03:54:52,posesib,@dearestaIe Dirawat berapa hari kata dokternya dek?
2022-03-08 03:54:39,shinhyerisuun,"-selanjutnya. dan tibalah susternya manggil ""anak Aldebaran!"" 😬😭😭😭😭 semua yg ngantri disitu ibuk"" bpk"" pada nahan ngakak cuy🤣🤣🤣🤣 gue sampek keselek sariroti🙃"
2022-03-08 03:52:10,shinhyerisuun,"Gue lagi nemenin sepupu dirs cek kandungan, teruskan kita lagi duduk"" ngantri nih. lah samping poli kandungan tuh ada poli anak juga jadinya kita pasti dengerlah ya anak"" yg priksa pada antri disini. waktu gue enak"" makan sari roti ada pasien anak dipanggil susternya utk antrian-"
2022-03-08 03:48:28,jewnonu,"@Askrlfess Gue punya gerd dan obatnya udah diresepin sama dokternya, jadi nyetok di rumah. Kalau mau, beli aja obat maag cair yang dijual bebas di apotik/minimarket terdekat"
2022-03-08 03:47:12,prettycourtesan,@sugurulokal mau sombong udh vaksin ketiga *tp brgetar* susternya nyuruh gue lemesin jgn tegang WKWKWKWWKWK
2022-03-08 03:46:30,hwangcloudpeach,"@721100ho SAMAAAK WKWK. kalo az pas aku booster kemaren sih susternya bilang kalo efeknya bisa demem, flu, batuk gt deh kak."
2022-03-08 03:43:49,kaietniyaa,"@grhntt Dicabut krn dah berlobang parah, udah ajuran dokternya gitu :("
2022-03-08 03:41:48,grhdnwhkzrt,@fzeeyaa ada yang menduga gimana kalo dokternya adalah Dylan........
2022-03-08 03:31:25,_dhadez_,"saran?
gampang sih.

kunjungi RSJ terdekat, ketemu dokter jiwa di sana. nah, nanti konsul sama dokternya sampe sembuh. https://t.co/70epAcwtI3"
2022-03-08 03:29:55,dorlns,@masadepanmu____ @ohmybeautybank Btw obat hormon km kayak mana? Aku jg hormonnya ga seimbang cm ga mau ke dokter lagi krn omongan dokternya bikin ngedown waktu itu.
2022-03-08 03:23:35,jasmrobs,Laporan ke kakak gue 'kata dokternya gini gini gini' eh malah ditanya balik pake bhs alien ya mana w tau🤢🤢
2022-03-08 03:15:20,areomdawo,"Dokternya kaget waktu liat uwu diem aja pas disuntik 😂 soalnya sebelum disuntik aku bilang ""uwu jangan rewel ya, mayii gini soalnya mayii mau uwu nemenin mayii sampe tua"".

Sepanjang check up dan vaksin tadi beneran diem gak rewel wkwk rewel di jalan doang"
2022-03-08 03:11:34,shuthafuu,"Payah banget. Jadwal pelayanan sim 8-12.

Jam 10 dokternya belum dateng. Payah"
2022-03-08 03:08:41,bibilsss___,@bttrswtaff matanya luka grgr berantem ... :( sm dokternya td dikasih obat mata
2022-03-08 03:07:41,_umanyways_,@ohmybeautybank Ke dokter kulit. Konsul dulu sama dokternya aman diilangin atau ngga
2022-03-08 03:03:18,milikmuuu,"@afrkml Pernah kena ISK gara2 sering nahan pipis sama cuci kemaluan pake sabun2 sirih yg katanya bagus buat miss v. Dimarahin dokternya pas aku cerita :')
Sumpah sakit bgt emang buat pipis 👍"
2022-03-08 02:58:08,zvvwvvz,dimarahin dokternya 😭
2022-03-08 02:57:12,prettycourtesan,@cyberstochkolm blm tau masih ngantriii blm screening ditanyain dokternya
2022-03-08 02:56:13,lwjbn,"@yourpetsfess Petville di banguntapan kak,kata kakak ku murah sih dan baik banget dokternya"
2022-03-08 02:54:08,minumaquayuk,"@yourpetsfess bawa ke vet, nanti dokternya yg ngasin salep dll"
2022-03-08 02:52:10,dpopcorns,@ranitidine50mg tadi udah tp ga cukup huft ini skrng lg jaga poli alias jd patung berdiri di blkng dokternya 😵‍💫 ya salah gue jg sih siapa suruh begadang wkwk
2022-03-08 02:51:36,bukanrobots,"langsung ke bagian radiologi, tapi perawatnya gak ada, jadi nunggu dulu . setelah ada perawatnya langsung ku kasih kertasnya, dan kata perawatnya hari ini dokter yg usg gak ada :"" adanya besok, dan dokternya laki2 . yg dokter perempuan baru isolasi mandiri, habis covid."
2022-03-08 02:47:13,bukanrobots,"setelah itu, coba saya periksa ya kata dokter. dan langsung rebahan dan di periksa hehe. meskipun samasama perempuan tapi tetap malu 😭 apalagi disuruh buka (kalo yg kemarin ga di buka ya) setelah di periksa benjolannya ga ketemu . karna emang susah ketemu jadi dokternya bilang"
2022-03-08 02:46:15,lemonteamcd,td dokternya abis nyuntik blg gua jarang minum LAH IYA KOK TAU LIATNYA DRMANA SIH tp namanya dokter yh aq gx heran si kl tau🙏 trus td pas tensi tangan gua ampe merah gile kenceng bener😭😭 SAMPE GINI untuk pain tolerance q tinggi tp kl painnya di hatiq q gx quad https://t.co/Ehu4stdgee
2022-03-08 02:46:10,ThasyaSandya,@raudhatusyifaa Lah serem banget cip 🥲 itu dokternya gimana
2022-03-08 02:45:43,devikarina14,@tensigoreng @sdenta Ini yg dapat dari dokternya. https://t.co/OzAozY8e34
2022-03-08 02:42:46,yourpetsfess,"🐉 oiya guys kemarin kan sama dokternya disaranin pakenya 2 kali sehari selama 2 hari ya, nah meng aku yang lain kan ada 9 tuh, kira kira butuh berapa botol ya? 2 botol cukup ngga? https://t.co/bcZVUBlur2 https://t.co/IQ7bbBe9zL"
2022-03-08 02:41:32,privvjejee,dimarahin dokternya soalnya gue deg deg an
2022-03-08 02:36:17,alyastruggle,enak bgt dokternya ngajar &lt;3 https://t.co/xnypYbpABd
2022-03-08 02:36:02,shiinryyjn,@theje1975 Bntr ya lg anter pasien dulu susternya hehe. Noted nnti aku puterin 🤣 https://t.co/FmcRNmH6lK
2022-03-08 02:32:55,ssefnum,"-rl ini aku buat janjinya online, di wa yang autochat pake sistem gitu bukan sama dokternya langsung. dan gatau juga nomor dokternya. tetap perlu bilang kah ? https://t.co/Y5CzLopqWa"
2022-03-08 02:29:05,azuimaginaria,@Arai8Zo @BasoSurga dia ada yg nemenin+dokternya udh bilang emergency
2022-03-08 02:28:40,beemhndr,@aayyeeen tiba tiba mengganti layar dokternya ya gimana ya
2022-03-08 02:28:25,bukanrobots,"dokternya tadi, ternyata udah beda perawat. ""permisi kak, maaf untuk dokter bedah namanya siapa ya? maaf saya tadi sudah diberi tau tapi lupa"" lalu dijawab, ""atas nama siapa?"" aku bilang Nama ku, lalu dijawab ""Oh, Dokter H... , tapi dokternya belum datang ."""
2022-03-08 02:25:25,shiinryyjn,Demi allah kebiasaan bgt ya ida tuh kalo diliatin sampe intens gitu. Di tegor kan ama susternya di srh ke konter pilih lagu sesukanya. Fix si susternya carat https://t.co/D50tsKaEnp
2022-03-08 02:24:36,odreo,@ssefnum bilang sama dokternya
2022-03-08 02:23:47,geitarist,@ssefnum Kabarin dokternya.
2022-03-08 02:23:20,adoraelb,@ssefnum hubungin dulu dokternya.
2022-03-08 02:23:20,seunowie,"gue kalo ke psikiater kayanya engga menyelesaikan masalah, dokternya ikutan nangis kali ya"
2022-03-08 02:23:13,gukiezs,@ssefnum bilang dulu nder sama dokternya.
2022-03-08 02:22:41,uurfavoboy,@ssefnum Bilang dulu sama dokternya
2022-03-08 02:22:10,haeveonly,@ssefnum Bilang sama dokternya udah? Kalau dokternya bilang gapapa ya berarti gapapa.
2022-03-08 02:21:18,kukisgula,"ssg res spB, disuruh ambil motor sama dokternya wwwwww"
2022-03-08 02:20:36,haneulnophi,"@IlhamKreativ @3un0ia_ @iyainidwi @kochengfess udah murah banget itu, kalo betina kan sterilnya termasuk operasi besar. anestesi, alat bedah, benang jahit, antibiotik dll kan butuh biaya juga. lagian emangnya dokternya dulu sekolahnya bayar pake daun pisang nder? kan harus balik modal juga"
2022-03-08 02:13:09,bukanrobots,"setelah di panggil langsung di tensi dan nimbang, lalu ditanya ""keluhannya apa""""kenapa cari dokter bedah"" ( disurat rujukan tertulis kepada Yth. Dokter Bedah ). aku jelasin sedikit, setelah itu dikasih tau nama dokternya. karna ramai aku jadi kurang jelas:"" dan perawatnya"
2022-03-08 02:10:38,shiro_oniii,"Hamdalah sama dokternya langsung diresepin antibiotik + salep buat ngempesin benjolan"" itu"
2022-03-08 02:09:46,shiro_oniii,"Waktu diperiksa sama dokter, dokternya kaget banget karna kaki bapak itungannya udah parah banget. Dan kalo telat penanganan bisa"" membengkak selamanya. Karna ternyata dari benjolan bening itu juga berefek ke bagian organ dalam badan, mulai dari pankreas sampe getah bening juga"
2022-03-08 02:03:57,ratutorojoyo,"Sumpah ngantuk banget. Tidur subuh jam 7 kudu bangun, buru² ngejar nomor antrian. Beruntungnya dapet nomor awal. Ehh tapiii dokternya datang jam 10."
2022-03-08 02:01:24,St4yD4y,"@kochengfess Tanya dokternya gimana baiknya, takutnya malah overdosis kalo kamu kasih tanpa sepengetahuan dokter.."
2022-03-08 01:59:59,agroupie_,@ohmybeautybank Aku pake pil kb nder. Emg haid ku tu ga teratur dan seribg telat. Tp pas cek kata dokternya gaada masalah jadilah waktu itu dikasih pil kb. Kl ngga better km cek dulu aja biar lebih tau kondisinya gimana
2022-03-08 01:59:42,TheRandomMania,"Waktu ke rumah sakit, dokternya bingung setengah mati pas meriksa gw. Karena pas di periksa denyut jantung gw pake stetoskop, yang terdengar hanya namamu"
2022-03-08 01:57:08,lbabie,"@kochengfess Bawa aja ke vet walau udah membaik, kasih tau dokternya semua gejala si kucing. Takutnya nanti jadi dehidrasi dan makin parah."
2022-03-08 01:46:29,Strawberryfrpe_,"Sebuah cerita. Waktu akhir Februari itu aku sakit, ada hampir semingguan mah. Aku berobat dokternya kek ngajak guyon bgt asli 😂 itu aku dipriksa ga ada satu menit bgt Ya Allah, ditanya keluhan lebih lanjut juga engga. trs pas minta surat keterangan sakit karena buat izin kerja"
2022-03-08 01:44:22,deklibs,Kalo Crazy Rich gitu dokternya siapa yha?
2022-03-08 01:39:59,awnyaii,Anjir perut sakit banget sampe jalan aja bungkuk tp tetep naik motor bolak balik. Niat mau ke dokter eh dokternya tutup sialanddddddd sakit bgt iniii😭😭😭
2022-03-08 01:31:12,huriricane_,"@rhnf @giginyang Moderna, reeen. Dosisnya kata dokternya lebih kecil dari vaksin 1-2 sih, tapi tetep aja ini efeknya agak lebay rasanya?? Merinding sebadan2, sakit kek abis jatoh dari sepeda gitu oTL"
2022-03-08 01:31:10,dyahproborini84,Menurut jadwal dokternya praktek jam 9. Semoga tepat waktu
2022-03-08 01:28:52,Ranger_Ichsan,"Check up lagi,.....
sayang dokternya pindah praktek, jadi ngak bisa ketemu lagi. padahal udah nyaman. 😋 https://t.co/CcuHOzHoIu"
2022-03-08 01:19:53,prawira237,@itsmyreallife_ Minum obat.. dpt obat dari dokternya kan kmrn?
2022-03-08 01:16:34,actiasluna19,@Faraxsan76 dokternya praktek lagi kamis pagi... kelamaan nunggu kamis 😬
2022-03-08 01:14:16,mutqs,@kochengfess langsung tanya dokternya
2022-03-08 01:12:11,imjustyoora,@Mohonmaapp @rontokrontok @collegemenfess aku kedokter juga sering panggil bapak/ibu soalnya pas aku panggil dok dokternya bilang panggil bapak/ibu aja
2022-03-08 01:06:57,nayjuseyoo,"@feeturette SULITT MANA AKU G BS MENAHAN DIRIKU UNTUK TIDAK MEMEGANG!! tp hbs itu bersin terus dan gatal2 meski ud pake masker. Ga tau bs sembuh apa engga, soalnya kata dokternya cuma suruh menghindari pemicunya aja :(
Menghindari kucing, mana bisa :("
2022-03-08 01:04:39,zvvwvvz,aihh dokternya g dateng :(
2022-03-08 01:01:06,MentariStephani,"Di rumah sakit banyak tabung oksigen, tapi waktu aku sesek napas, aku bilang sama susternya, aku cuma butuh kamu. soalnya kamu oksigen aku"
2022-03-08 00:59:12,hadisulisdado,"@mommy55000091 aamiin ya rabbal alaamiin,
klo ibuku dokternya nyuruh satu dl mba operasinya,
manut dokter gimana yg terbaik"
2022-03-08 00:43:30,agathisnl,"@leechinose @yourpetsfess Kucing aku engga disuntik nder. Cuma di cek matanya aja, udah se-parah apa gitu. Biayanya konsul dokter 70k, salep mata 30k nder

Trs dokternya bilang itu krn infeksi bakteri clamydia yg emang biasa nyerang kitten gitu nder. Harus rutin kasih salep mata sama dibersihin"
2022-03-08 00:42:55,yanamanya_idup,"Bayangin, lu lagi sakit, trus dokternya nanya diagnosis lewat base 🙃"
2022-03-08 00:42:12,untariwns,"Sampe sana harus ke dokter igd buat screening karna ibu batuk. Ya, gapapa. Kirain tuh bakal cepet. Tapi dokternya gak ada. Bilang lagi pergantian shift dsb. Yaudah.....iya ditunggu."
2022-03-08 00:39:44,minogenduy,"@ododanodi @kochengfess iyaa kalo kata dokternya “si jago kandang” 

mino malah ga hissing ga berisik. diem aja ngumpet di ketek wkkwkw"
2022-03-08 00:25:34,NewSalihova12,"Dunia adalah penyakit, kekuasaan juga penyakit, dan ulama adalah dokternya. Maka jika kalian melihat dokter memasukkan penyakit kepada dirinya sendiri, maka berhati-hatilah kepadanya.

(Imam Ahmad bin Hanbal)

#IslamKaffah"
2022-03-08 00:24:44,devikarina14,"@sdenta Anak sy juga usia 4bulan, sudah di resepkan Zat Besi sama dokternya. 
Kakaknya pernah opname karena zat besi dan apanya gitu kurang, posisi demam juga. Padahal usia hampir 2th."
2022-03-08 00:18:30,T4KUT,@ohmybeautybank balik ke rahim ibumu lagi terus nanti lahir lagi nah minta ke dokternya biar diguntingnya kayak bentukan jenny
2022-03-07 23:55:13,korbanbangtan,"Owner rese, gak mendengarkan dokternya dgn baik, lebih suka sok tau dan googling obat sendiri, ujung2nya kucingnya udh cukup parah kondisinya, terus panikan, terus maksa2 jenguk pas bukan jam jenguk, terus malah bacot terus. Maunya apa sih??"
2022-03-07 23:38:35,yudi732002,"RT @mintyellow27: Bayar mahal tiap bulan, tp sekalinya sakit obat suruh tebus, suntik suruh bayar, lah.... Yg gratis konsul dokternya doang…"
2022-03-07 23:38:14,rambutAndin,@Ulvatus1 @MNC_Pictures Dokternya pun juga pusing
2022-03-07 23:34:09,yyyllloooyyylo,"@yourpetsfess kalo rawat sendiri 2/3 hari harus tega buat kandangin kucing, bener bener dikandangin terus makannnya juga kasi yang dry food, abis 3 hari, kalo mau dikeluarin boleh tapi jangan sampe kucingnya loncat loncat, biasanya dokternya ngasi salep atau cairan infus"
2022-03-07 23:02:44,americappu,"Dari pet sendiri udah hopeless. Apalagi dokternya bilang, “semoga ke tolong.” 

Gue sampai mohon-mohon ke dokter lain. Emang nggak ada cara lain? 

Tuhan sayang Yuu-chan. Maafkan Kaka yg nggak bisa jaga sebaik-baiknya. Suka ninggalin kamu. Maaf 😭 https://t.co/h7xxD7UE2A"
2022-03-07 22:37:34,akunsejak2012,"@imlapsap @rachlinhjs @evirawidiyani @jordaustin Takutkah? Ga sakit sama sekali kok. Dokternya liat pake kamera kecil gitu, kita juga bisa lihat di layar. ""Ini radang ya, itu kemerahan dan bengkak. Gapapa kok. Kita bersihkan dulu nanti saya kasih antibiotik pake obat tetes dan minum. Jangan dipegang"". Gitu sih aku kemaren."
2022-03-07 22:32:45,mintyellow27,"Bayar mahal tiap bulan, tp sekalinya sakit obat suruh tebus, suntik suruh bayar, lah.... Yg gratis konsul dokternya doang? Makin lama kok begini sih bpjs ☹️"
2022-03-07 21:57:54,nandemonaiyouu,"@YNikolayev_YR @brokenmeins @afrkml Aku pernah kena ISK, trus ke dokter spesialis penyakit dalam. Waktu itu ginjal, kandung kemihku di usg gitu.  Trus kata dokternya kandung kemihku luka, maybe iritasi. Dan minumnya harus cukup gaboleh kurang gaboleh lebih, karena kalo kebanyakan juga bikin kandung kemih iritasi lg"
2022-03-07 20:13:46,enjelade,"@CielAdley @404LOSTCAUSE @convomfs bisa kok, kakakku dulu pernah lasik tapi ngelahirin tetep normal
konsultasiin ke dokternya aja"
2022-03-07 19:20:18,rosearenana,pgn bolos hari rabu tp takut dicariin kl ijin kedokter ntar mampos surat dokternya ditagih gimane
2022-03-07 18:44:53,missufewindong,"sorry kalo tweets ku kasar, emosi bgt korban penipuan 90jt dijulidin dan ditambah korbannya tuh dokter yg mana profesi paling berjasa di masa pandemi ini.

buat mba dokternya semoga ketemu jalan keluarnya dalam artian baik, uangnya kembali, dan diberi rezeki yg banyak"
2022-03-07 18:42:57,Yourfavboyzzz_,@beIIa1st Dokternya kasar deh nyakitin bela
2022-03-07 17:56:07,greaanie,"TAPI INTINYA TUHHH, klinik kecantikan tuh juga ada dokternya tau :( terus kalo jerawat gt memang kadang ada yg harus dibantu obat minum, treatment dll huhu bukan cuman sekedar dikasih cream pagi malem biar putih ahshgsgsahg"
2022-03-07 17:44:20,primaks_,"Seminggu yg lalu ke dokter gigi, dilakukan lah perawatan saluran akar krn gigi bolong.
2 hari ini kerasa ngilu n sakit nih gigi.
Yg nyut2an..
😣
Udh dkasih obat sm dokternya. Tp....
🥺😢"
2022-03-07 17:32:41,josephartio,"@SHALETHINE butuh beneran apa kaga ini sha. kalo kaga, dokternya pulang ini"
2022-03-07 17:15:46,inn0minatus_,"@willdidntsleep @404LOSTCAUSE @convomfs kamu minus/plus/silinder berapa dulu ? tahun lalu adik saya habis lasik back to normal dan dia emang masih kecil juga minusnya, dia bilang menurut dokternya yang paling cepet balik itu silinder, terus setelah lasik juga ada prosedur lain yg harus dipatuhi"
2022-03-07 17:04:49,searcrh,Kata dokternya ada obatku yg bikin ngantuk
2022-03-07 17:00:04,_ziaan,@ZOO_FESS Terus dokternya bilang kemungkinan kcg nya kena hernia🥺
2022-03-07 16:43:56,pickawnaw,"@yawinmarch @missufe belum kak, baru proses masih di obatin akarnya gitu, udah 2 kali kontrol masih diobatin juga gabti obat gitu dimasukin ke gigi, dokternya jg bilang nunggu udah gak sakit lagi hihu😔😔😔"
2022-03-07 16:42:29,Ogut2021,"@detikcom Kasih berita yg bener lah bos narasinya.! klo dihujani rudal rusia seperti yg anda beritakan, ko masih bisa menyampaikan dan bekerja dokternya??? Apa anda memberitakan dari alam gaib???"
2022-03-07 16:42:25,yurdiandani,"@SoloMenfess 2 bulan lalu aku habis ke tht, 2 kuping habis 260 rb tempat di RSUP Surakarta, dokternya ramah dan masih muda."
2022-03-07 16:37:10,micasa97,"sbnrnya CT-scan boleh ditemenin g sih?
i minta tlg dokternya boleh pegangan tangan or not soalnya i takut, she even asked “why”."
2022-03-07 16:36:05,nurrizkimulyan1,"@qtrsyy Sodara sy wktu hamil kaya Andin,tensi tinggi terus .masuk 9 bulan akhirnya trpksa sesar,bayinya meninggal didalam kandungan,dan kata dokternya prematur krna ada organ tubuh yg belum sempurna disebabkan karna tensi ibunya tinggi terus..menurut crta ibunya gitu.."
2022-03-07 16:34:12,breezzypadd,@haeciloklopers karna aku dokternya
2022-03-07 16:29:58,cabangpurnamaa,"@happyyymeall @kochengfess aku lg pake kf beauty, doyan sih, bulunya ngembang dibanding waktu pake rc. Cuma skrg bb nya lambat bgt. Kemarin pake rc cpt sampe dokternya bilang gede ya blm 3bln bb udh 1.5 🥲 skrg udh 5 bln masih otw 2kg aja sejak pake kf. Pengen coba nb beauty sihh ngefek ke bb ga kak?"
2022-03-07 16:13:47,Lovely_2209jy,"ASKARA ini kenapa lahirnya dibilang prematur dah?? Lah bukannya Andin hamil udah 8bln lebih ya?? Kok bisa jadi gak berkembang deh jantung dan paru-paru nya. Perasaan terakhir waktu periksa kandungan, dokternya bilang semua baik-baik aja yaa?? Aneh betul deh ahh... 
Maksa banget!"
2022-03-07 16:04:11,blanctnoir,Dokternya pintar wkwk https://t.co/OjRLPn9HGD
