date,username,fulltext
2022-03-08 06:29:04,notsuspiciously,"@caramellhyunjin Bismillah kuat. Aku jg langganan sakit itu. Klo berobat malah sm dokternya disuruh sering2 puasa biar lebih sehat dan jarang kumat. Yg penting pikirannya jgn suggest klo bakal laper atau sakit pas lg puasa, krn ngaruh"
2022-03-08 06:26:20,putrkhay,@imprrettygirl bisaaa... aku waktu ga pakek anting 3 bulan lubangnya ketutup terus dibolong lagi aku sampe nangiss😭😭👍 sampe diketawain dokternya pdhl uda gede masi nangis kayak gitu shshshshsh
2022-03-08 06:26:15,itskiwifruits,"@kochengfess Dokter di puskeswan disini ada yg pake obat kutu anjing buat kucing-kucingnya (kucing dokternya). 
Beliau bilang jadi lebih hemat daripada pake yg kucing. Cuma gw ga tau ya dosisnya coba konsul ke drh aja dulu"
2022-03-08 06:24:48,fidafins,"Takut woy liat pas diobatinnya, kubilang sama dokternya, ini di rawat inap aja dok, saya gak yakin bisa ngasi obatnya, ditambah ini ada bayi agak riweuh. Kata dokter ok kutinggal di vet dulu itu koceng."
2022-03-08 06:23:36,ijotopi1,"RT @dian_inidian: Di trailer kan dokternya bilang ke Al kalo kondisi Andin udah stabil. Harusnya, harusnya nih kl udah blg stabil gt Andinn…"
2022-03-08 06:21:32,abiidooo,"RT @efenerr: barusan ngantar Sir Charles karena flu ke drh Eka. silakan kalau butuh vet area Bintaro, Graha Raya, Ciledug dan Alsut. 

baek…"
2022-03-08 06:20:17,efenerr,"barusan ngantar Sir Charles karena flu ke drh Eka. silakan kalau butuh vet area Bintaro, Graha Raya, Ciledug dan Alsut. 

baek banget dokternya dan teliti. 🙏 https://t.co/cQfGBE6HEF"
2022-03-08 06:18:54,aja_sampah,"Dokternya bohong ya? Katanya kalau meluapkan perasaan bisa jauh lebih baik. Ini kok ngga lebih baik, kenapa malah sesek banget?"
2022-03-08 06:16:43,pisesa08,"@Riosuryantoro Ini reinfeksi setelah 3 tahun sih dok 😁. Dokternya pk rubber dam. Akunya br ngerasa sakit cekit2 lgs cek ke dokgi, krn wkt itu lg promil, jd mau buru2 diselesein. Pengalaman pas kena RCT las hamil pertama. Sakitnya aduhai."
2022-03-08 06:14:17,BaskoroDina,"@Adi25Wahyu @ftrrii1 @TKantau @StopPlandemit @Jamal06806913 @ivanyudhis @SumandoGaek Ini dokternya. Jantungnya pakai alat kreasi beliau, jd mirip iron man. Rafi sebelum vaks H-1 suntik vit sm dia. Dokternya dr awal jg pesan ke pasiennya utk baiknya ga usah vaksin. 😁😆 https://t.co/Q51pMymySk"
2022-03-08 06:13:31,jaesaskara,@gelatgo Aku yang jadi dokternya boleh nggak
2022-03-08 06:10:05,mebsttitude_,"kadang gue butuh support langsung dari keluarga gitu, biar ga tegang kalo dengerin diagnosa"" dari dokternya😮‍💨"
2022-03-08 06:09:58,SantosoIsro,@riekanurul Kamu loh ga knp2 gitu. Cuma sama dokternya suruh nontonin drama korea
2022-03-08 06:07:32,greengrassot23,"@tanyakanrl Dulu sempet ada, tapi pas kmrn kejadian itu kayaknya udah ga ada nder. Tapi kata dokternya kemungkinan masih ada cuma di dalem gitu wasirnya."
2022-03-08 06:01:43,shuvanillata,"@pvzmania @Askrlfess Oh aku pikir baru mau konsul, kalo baru mau konsul aku ada yg murah..tp klo tindakan aku blm bs bantu. Maaf yaaa, emg skrg agak ribet sih ke poli gigi. Aku udh daftar dari beberapa hari lalu aja smpe skrg blm dpt jadwal dari dokternya."
2022-03-08 06:00:58,PasarGodean,"Di rumah sakit banyak tabung oksigen, tapi waktu aku sesek napas, aku bilang sama susternya, aku cuma butuh kamu. soalnya kamu oksigen aku"
2022-03-08 05:57:59,NNurisniati,RT @inisenyumm: Perasaan kondisi andin jg dr kemarin udh stabil tapi kaga sadar2 ini dokternya niat jd dokter apa ga sih 🙂 #IkatanCinta
2022-03-08 05:57:57,dian_inidian,"Di trailer kan dokternya bilang ke Al kalo kondisi Andin udah stabil. Harusnya, harusnya nih kl udah blg stabil gt Andinnya udah sadar sih. Biasanya, wajarnya begitu 🙃"
2022-03-08 05:55:47,Dhonni_88,@timbang_lego Otak dokternya dah kena virus ketakutan bila bukan kena virus ketamakan 😎
2022-03-08 05:52:24,preiajadaahh,RT @inisenyumm: Perasaan kondisi andin jg dr kemarin udh stabil tapi kaga sadar2 ini dokternya niat jd dokter apa ga sih 🙂 #IkatanCinta
2022-03-08 05:52:04,cheesecxk,Tadi baru bisa bawa ke puskeswan dan dokternya nyuruh bawa ke rumah sakit dan cuma bisa kasih vitamin biar kevin bisa bertahan sebelum dibawa ke rumah sakit. https://t.co/wHwyG5WHGK
2022-03-08 05:51:59,inisenyumm,Perasaan kondisi andin jg dr kemarin udh stabil tapi kaga sadar2 ini dokternya niat jd dokter apa ga sih 🙂 #IkatanCinta
2022-03-08 05:43:22,fadyanova,RT @Ida_Farianda: Dokternya jam karet 😌😌 https://t.co/dj0GTPZrbh
2022-03-08 05:40:49,punyaijoel,"@detektifsejaht1 @AldenialAlfahri @Ulvatus1 Iyalah.. pasti pd bosen 🤭🤭

Harusnya dokter sama susternya juga udh pd kenal, akrab sama Aladin.. org sering bgt kerumah sakit..
Yaa jenguklah, yaa jadi pasienlah.. 🤣🤣"
