date,username,fulltext
2022-03-08 15:53:56,dimplejaeeee,"@bucinbabang @bertanyarl sebelumnya aku konsultasi dulu ke dokter yg dulu nanganin aku waktu aku kena gbs, itu juga lama bgt dokternya bolehin aku buat vaksin karna masih dibicarakan sama tim dokter terkait kondisi ku bisa ga ikut vaksin.."
2022-03-08 15:47:59,rezkyadit28_,@bika_engine @adams69apple @Blackgownn @tanganbelang_tb Serius ms glow? Gua kira produk skincare yg kasus dokternya dilaporin atas pencemaran nama baik sama si artis.
2022-03-08 15:47:10,salmooun,"udah lama ga ke limi, dateng2 susternya drku ganti jadi blahbloh lagi"
2022-03-08 15:39:22,jimbon90,"@Baebbyz @isyour__crush @kochengfess Aku baru adopt kucing kak, eh tbtb dia diare 2 minggi setelah kejadia diare dia cacingan sampe 4x kedokter keluar duit ratusan ribu dokternya ga mau kasih obat cacing katanya obat keras dan kucing aku gusinya pucat akut kenapa2, tp aku paksain kasih obat cacing mandiri ternyata"
2022-03-08 15:38:06,jaetimein,"capek banget bisa bisanya meluk dokternya😭
#CrazyLoveEp2 #CrazyLove https://t.co/VMuccPmoe2"
2022-03-08 15:37:40,dinnidin1,"RT @dian_inidian: Di trailer kan dokternya bilang ke Al kalo kondisi Andin udah stabil. Harusnya, harusnya nih kl udah blg stabil gt Andinn…"
2022-03-08 15:33:39,viete1712,@monajalaah Trims mom.. Klo kek gini penjelasannya kan aq jd paham.. Dokternya jelasinnya kurang berkembang² doang sama tensi2 tinggi..Lha aq org awam ya gk paham
2022-03-08 15:32:57,berluian,aaaaa mau merem ada dokternya 😭😭
2022-03-08 15:30:16,Pluviophile_Arn,@sagipussy Anjir wkwwkwkkw dokternya auto ngeuh🤣
2022-03-08 15:27:05,aa_anting,@PalingDepan__ Bukan mksdnya yg ke ruang icu nanyain kondisi andin ke dokternya. Ada?
2022-03-08 15:25:38,ayukaaa9,Pas lahir juga ga nangis. Yaa dokternya sibuk lgi operasi di tempat lain. Suster/bidannya pun ga berani nanganin gegara sungsang
2022-03-08 15:23:41,VeramitaNanda,"Trs ada lagi, pas kuliah fisiologi persarafan ke kandung kemih dan rectum. Trs dokternya blg
'Ngebrok'
It's mean, BAB tanpa disadari krn perasarafannya rusak, jd g ada rasa ingin bab tbtb bab

Tmnku nanya 'artinya ngebrok apa woy, masa sama bahasa medisnya susah bhs jawanya' 🤣🤣"
2022-03-08 15:22:31,recycledump,dokternya bilang gigiku cantik tapi sambil ketawa 😙😐 https://t.co/eaNLE2PDfS
2022-03-08 15:22:24,cewenyaSUGA,yoongi treatment nya apa aja ya jir… muka dia awal debut sama sekarang tu beda bgt bersih &amp; glowingnyaaaa!!!! dokternya manteb dah
2022-03-08 15:21:50,rlvareveal,EH BUSET DAH KEKNYA EMANG KEKNYA NI DOKTERNYA NOH GOJIN JADI SEMACAM WEDDING ORGANIZER JUGA ANJIRRRR #CrazyLoveEp2 #KimJaeWook https://t.co/wtC1Cd7E0Q
2022-03-08 15:14:20,Rui__sanyu,@Askrlfess Coba datengin ke klinik faskes 1 bpjs yg ponakan kamu pake nder terus konsul sama dokternya &amp; minta surat rujukan langsung bilang aja ponakan kamu udah berobat sana sini tapi belum sembuh
2022-03-08 15:13:23,desyeris,"Untung dah biasa di suntik. Alhamdulillah susternya ga susah2 nyari nadinya, tinggal cari bekas suntikan sblmnya aja 🙃 https://t.co/UH8R2aFe7I"
